date,name,sex,country_killed,Local_Foreign,Type_death
26-Oct-06,Saed Mahdi Shlash,Male,Iraq,Local,Murder
12-Oct-06,Hussein Ali,Male,Iraq,Local,Murder
12-Oct-06,Ahmad Sha'ban,Male,Iraq,Local,Murder
12-Oct-06,Thaker al-Shouwili,Male,Iraq,Local,Murder
12-Oct-06,Noufel al-Shimari,Male,Iraq,Local,Murder
12-Oct-06,Abdul-Rahim Nasrallah al-Shimari,Male,Iraq,Local,Murder
18-Sep-06,Ahmed Riyadh al-Karbouli,Male,Iraq,Local,Murder
13-Sep-06,Safa Isma'il Enad,Male,Iraq,Local,Murder
9-Sep-06,Abdel Karim al-Rubai,Male,Iraq,Local,Murder
7-Aug-06,Mohammad Abbas Mohammad,Male,Iraq,Local,Murder
7-Aug-06,Ismail Amin Ali,Male,Iraq,Local,Murder
30-Jul-06,Riyad Muhammad Ali,Male,Iraq,Local,Murder
29-Jul-06,Adel Naji al-Mansouri ,Male,Iraq,Local,Murder
23-Jul-06,Layal Najib,Female,Lebanon,Local,Crossfire/Combat-Related
13-Jun-06,Ibrahim Seneid,Male,Iraq,Local,Murder
31-May-06,Ali Jaafar,Male,Iraq,Local,Murder
29-May-06,Paul Douglas,Male,Iraq,Foreign,Crossfire/Combat-Related
29-May-06,James Brolan,Male,Iraq,Foreign,Crossfire/Combat-Related
8-May-06,Laith al-Dulaimi,Male,Iraq,Local,Murder
4-Apr-06,So'oud Muzahim al-Shoumari,Male,Iraq,Local,Murder
26-Mar-06,Kamal Manahi Anbar,Male,Iraq,Local,Crossfire/Combat-Related
13-Mar-06,Muhsin Khudhair,Male,Iraq,Local,Murder
11-Mar-06,Amjad Hameed,Male,Iraq,Local,Murder
7-Mar-06,Munsuf Abdallah al-Khaldi,Male,Iraq,Local,Murder
23-Feb-06,Atwar Bahjat,Female,Iraq,Local,Murder
23-Feb-06,Adnan Khairallah,Male,Iraq,Local,Murder
23-Feb-06,Khaled Mahmoud al-Falahi,Male,Iraq,Local,Murder
25-Jan-06,Mahmoud Za'al,Male,Iraq,Local,Crossfire/Combat-Related
12-Dec-05,Gebran Tueni,Male,Lebanon,Local,Murder
7-Nov-05,Ahmed Hussein Al-Maliki,Male,Iraq,Local,Murder
19-Oct-05,Mohammed Haroon,Male,Iraq,Local,Murder
20-Sep-05,Firas Maadidi,Male,Iraq,Local,Murder
19-Sep-05,Fakher Haider,Male,Iraq,Local,Murder
17-Sep-05,Hind Ismail,Female,Iraq,Local,Murder
28-Aug-05,Waleed Khaled,Male,Iraq,Local,Crossfire/Combat-Related
27-Aug-05,Rafed Mahmoud Said al-Anbagy,Male,Iraq,Local,Murder
3-Aug-05,Steven Vincent,Male,Iraq,Foreign,Murder
23-Jul-05,Adnan al-Bayati,Male,Iraq,Local,Murder
1-Jul-05,Khaled al-Attar,Male,Iraq,Local,Murder
28-Jun-05,Ahmed Wael Bakri,Male,Iraq,Local,Crossfire/Combat-Related
25-Jun-05,Maha Ibrahim,Female,Iraq,Local,Crossfire/Combat-Related
2-Jun-05,Samir Qassir,Male,Lebanon,Local,Murder
31-May-05,Jerges Mahmood Mohamad Suleiman,Male,Iraq,Local,Murder
15-May-05,Ahmed Adam,Male,Iraq,Local,Murder
15-May-05,Najem Abed Khudair,Male,Iraq,Local,Murder
23-Apr-05,Saleh Ibrahim,Male,Iraq,Local,Crossfire/Combat-Related
15-Apr-05,Ahmed al-Rubai'i,Male,Iraq,Local,Murder
15-Apr-05,Saman Abdullah Izzedine,Male,Iraq,Local,Murder
14-Apr-05,Fadhil Hazem Fadhil,Male,Iraq,Local,Crossfire/Combat-Related
14-Apr-05,Ali Ibrahim Issa,Male,Iraq,Local,Crossfire/Combat-Related
1-Apr-05,Ahmed Jabbar Hashim,Male,Iraq,Local,Murder
14-Mar-05,Hussam Sarsam,Male,Iraq,Local,Murder
25-Feb-05,Raeda Wazzan,Female,Iraq,Local,Murder
30-Nov-04,Wadallah Sarhan,Male,Iraq,Local,Murder
1-Nov-04,Dhia Najim,Male,Iraq,Local,Crossfire/Combat-Related
14-Oct-04,Dina Mohammed Hassan,Male,Iraq,Local,Murder
14-Oct-04,Karam Hussein,Male,Iraq,Local,Murder
12-Sep-04,Mazen al-Tumeizi,Male,Iraq,Local,Crossfire/Combat-Related
26-Aug-04,Enzo Baldoni,Male,Iraq,Foreign,Murder
15-Aug-04,Mahmoud Hamid Abbas,Male,Iraq,Local,Crossfire/Combat-Related
6-Jun-04,Simon Cumbers,Male,Saudi Arabia,Foreign,Murder
27-May-04,Shinsuke Hashida,Male,Iraq,Foreign,Crossfire/Combat-Related
27-May-04,Kotaro Ogawa,Male,Iraq,Foreign,Crossfire/Combat-Related
21-May-04,Rashid Hamid Wali,Male,Iraq,Local,Crossfire/Combat-Related
7-May-04,Waldemar Milewicz,Male,Iraq,Foreign,Crossfire/Combat-Related
7-May-04,Mounir Bouamrane,Male,Iraq,Local,Crossfire/Combat-Related
19-Apr-04,Asaad Kadhim,Male,Iraq,Local,Crossfire/Combat-Related
26-Mar-04,Burhan Mohamed Mazhour,Male,Iraq,Local,Crossfire/Combat-Related
22-Mar-04,Mohamed Abu Halima,Male,Israel and the OPT,Local,Crossfire/Combat-Related
19-Mar-04,Ali al-Khatib,Male,Iraq,Foreign,Crossfire/Combat-Related
18-Mar-04,Ali Abdel Aziz,Male,Iraq,Local,Crossfire/Combat-Related
18-Mar-04,Nadia Nasrat,Female,Iraq,Local,Murder
1-Feb-04,Abdel Sattar Abdel Karim,Male,Iraq,Local,Crossfire/Combat-Related
1-Feb-04,Semko Karim Mohyideen,Male,Iraq,Local,Crossfire/Combat-Related
1-Feb-04,Gharib Mohamed Salih,Male,Iraq,Local,Crossfire/Combat-Related
1-Feb-04,Ayoub Mohamed,Male,Iraq,Local,Crossfire/Combat-Related
1-Feb-04,Haymin Mohamed Salih,Male,Iraq,Local,Crossfire/Combat-Related
1-Feb-04,Safir Nader,Male,Iraq,Local,Crossfire/Combat-Related
27-Jan-04,Duraid Isa Mohammed,Male,Iraq,Local,Crossfire/Combat-Related
28-Oct-03,Ahmed Shawkat,Male,Iraq,Local,Murder
25-Aug-03,Ahmad Kareem,Male,Iraq,Local,Crossfire/Combat-Related
17-Aug-03,Mazen Dana,Male,Iraq,Foreign,Crossfire/Combat-Related
10-Jul-03,Zahra Kazemi,Female,Iran,Foreign,Murder
6-Jul-03,Jeremy Little,Male,Iraq,Foreign,Crossfire/Combat-Related
5-Jul-03,Richard Wild,Male,Iraq,Foreign,Murder
2-May-03,James Miller,Male,Israel and the OPT,Foreign,Crossfire/Combat-Related
19-Apr-03,Nazih Darwazeh,Male,Israel and the OPT,Local,Crossfire/Combat-Related
8-Apr-03,Taras Protsyuk,Male,Iraq,Local,Crossfire/Combat-Related
8-Apr-03,José Couso,Male,Iraq,Foreign,Crossfire/Combat-Related
8-Apr-03,Tareq Ayyoub,Male,Iraq,Foreign,Crossfire/Combat-Related
7-Apr-03,Christian Liebig,Male,Iraq,Foreign,Crossfire/Combat-Related
7-Apr-03,Julio Anguita Parrado,Male,Iraq,Foreign,Crossfire/Combat-Related
3-Apr-03,Michael Kelly,Male,Iraq,Foreign,Crossfire/Combat-Related
2-Apr-03,Kaveh Golestan,Male,Iraq,Foreign,Crossfire/Combat-Related
22-Mar-03,Paul Moran,Male,Iraq,Foreign,Crossfire/Combat-Related
22-Mar-03,Terry Lloyd,Male,Iraq,Foreign,Crossfire/Combat-Related
22-Sep-02,Issam Tillawi,Male,Israel and the OPT,Local,Dangerous Assignment
12-Jul-02,Imad Abu Zahra,Male,Israel and the OPT,Local,Crossfire/Combat-Related
13-Mar-02,Raffaele Ciriello,Male,Israel and the OPT,Foreign,Crossfire/Combat-Related
31-Jul-01,Muhammad al-Bishawi,Male,Israel and the OPT,Local,Crossfire/Combat-Related
21-Oct-99,Ahmet Taner Kislali,Male,Turkey,Local,Murder
28-Feb-99,Ilan Roeh,Male,Lebanon,Foreign,Crossfire/Combat-Related
22-Feb-97,Ebrahim Zalzadeh,Male,Iran,Local,Murder
6-Jul-96,Kutlu Adali,Male,Cyprus,Local,Murder
8-Jan-96,Metin Göktepe,Male,Turkey,Local,Murder
29-Aug-95,Sayfettin Tepe,Male,Turkey,Local,Murder
8-Sep-94,Erol Akgun,Male,Turkey,Local,Murder
